x,y,z	
-8146.642422,19655.674070,-19800.000000
-9815.914300,29380.664146, -0.000000
-6209.910737,21120.213131,-17600.000000
-1847.404878,9656.799011,-25100.000000
-553.188428,13106.201918,-23500.000000
-7853.560660,20877.738864,-17100.000000
10061.735230,2602.319977,-24500.000000
8641.261571,1035.109417,-24300.000000
-11875.543519,21490.239562,-6500.000000
-2863.159686,8647.305969,-18400.000000
4507.906313,2868.346816,-27100.000000
5922.859176,4878.886731,-24700.000000
6692.729518,679.662015,-26100.000000
-9742.788576,15758.622912,-12700.000000
  6.197262,9458.320009,-25900.000000
-3150.727216,6982.386477,-16200.000000
-590.139990,7789.654801,-18100.000000
-8582.654877,13558.490678,-12600.000000
-7040.214139,21663.416815,-17300.000000
-2544.846828,-319.766688,-32000.000000
-5674.337196,19465.700830,-16400.000000
7306.595352,9546.828530,-20700.000000
6557.791323,11974.356687,-19700.000000
-706.700025,8895.729998,-25800.000000
1502.835877,4825.204901,-27600.000000
616.318651,10019.606371,-26900.000000
3188.336979,9940.326098,-23300.000000
-3286.975360,9638.762879,-16700.000000
-2754.781720,8205.652296,-18200.000000
5828.047417,4213.255795,-24900.000000
-3006.290964,11857.356275,-25300.000000
-3205.019887,11301.095307,-23600.000000
-3822.047835,11293.332284,-26200.000000
1243.569306,834.952905,-16400.000000
-3578.713606,8306.044519,-26100.000000
39000.924852,7122.374167, -0.000000
-13631.355569,29774.051109, -0.000000
7454.170724,5783.168683,-24300.000000
2789.680434,17355.686960,-18400.000000
9132.854701,2923.626205,-24500.000000
2221.480031,-3472.339508,-25400.000000
-5276.766799,20578.270163,-14500.000000
-5251.943208,10499.964112,-26500.000000
-11761.061138,20605.675406,-11500.000000
-4779.172625,30109.266774,-1700.000000
6965.299878,3673.131157,-22900.000000
7265.727354,4341.203177,-23200.000000
902.471084,3488.793272,-17600.000000
-7662.947182,6038.895360,-19900.000000
-6802.953869,11144.723181,-23600.000000
1424.837210,45026.042192,-44200.000000
-6407.272009,20453.180549,-18900.000000
8844.992697,9897.275043,-23400.000000
-113.001057,2479.459332,-15800.000000
1539.600984,1835.365679,-15400.000000
-5661.868281,10383.997965,-24700.000000
7945.827112,7671.713201,-20300.000000
6250.600326,11859.943845,-21400.000000
-4166.209071,5972.784940,-18500.000000
-5550.583011,9720.883972,-23400.000000
8480.816472,5906.094031,-24500.000000
9592.234280,-1168.602203,-27900.000000
-9240.946236,8787.427952,-16500.000000
-5144.892915,10169.059121,-25500.000000
8530.626317,1698.284642,-25700.000000
-8785.506467,13334.359708,-26000.000000
-6917.132974,12029.306691,-24400.000000
-7949.923793,4373.839045,-18500.000000
-20826.016951,-1336.116476,-5200.000000
-5754.829513,9607.528840,-23600.000000
-2552.988781,16736.148932,-11100.000000
9952.457975,3154.769601,-25000.000000
-12803.192641,21588.848349,-16800.000000
4376.979137,5192.505909,-26800.000000
3868.387398,4743.343888,-28200.000000
-5150.539164,2526.877472, -0.000000
-5454.794680,10275.876999,-25200.000000
-4705.502166,7959.538829,-25700.000000
13196.643930,7068.589062,-31200.000000
-5367.437362,11495.289639,-3100.000000
-2150.490072,1014.240218,-16100.000000
-828.767043,10444.744080,-25600.000000
26103.345220,11530.383924,-10800.000000
-7193.001416,9478.387408,-24500.000000
-1681.768474,12870.685915,-24800.000000
3029.869375,6062.149235,-25800.000000
3334.227931,6398.104464,-26100.000000
6365.857550,2226.229620,-25000.000000
-5760.470849,10050.477532,-28000.000000
2553.771736,2955.320270,-19100.000000
-4730.762788,9952.801550,-24700.000000
4940.420395,1101.581084,-27500.000000
6663.576315,3115.783602,-25700.000000
6659.602961,3447.981533,-26700.000000
-9361.008849,10114.959879,-19900.000000
16028.713958,11198.292731,-15100.000000
8855.432743,9011.426878,-19100.000000
-7160.304301,6931.413650,-22600.000000
-5174.399441,12494.530556,-28800.000000
-10809.302335,2896.788057,-21700.000000
2840.481065,4730.835103,-29100.000000
6113.842146,6099.411114,-28800.000000
7045.627973,5556.807413,-26400.000000
-4630.737306,10175.577168,-25300.000000
1769.120818,8261.754804,-27800.000000
8524.067854,2251.944804,-24500.000000
-5864.712535,10159.904849,-25000.000000
-6091.554784,11818.340840,-26500.000000
-4084.948659,15830.914763,-27300.000000
9598.269955,78344.352428,-35100.000000
-13102.014914,28673.420944,-11100.000000
-1729.379338,8439.991511,-25700.000000
7583.307475,3569.749054,-26300.000000
-8922.680683,15990.743453,-21200.000000
3843.676548,-1680.477947,-20000.000000
7369.832211,4231.695363,-25900.000000
7271.005607,3898.273996,-25600.000000
-7729.926668,11243.589339,-22100.000000
-7118.565533,11694.460095,-20000.000000
-4363.396869,5305.759582,-22500.000000
5364.961881,8526.891746,-24600.000000
17794.146942,9667.778090,-21300.000000
-283.073069,7904.214491,-26200.000000
-3196.332636,2440.889504,-16400.000000
-341.930904,4359.411982,-23400.000000
-761.354768,5018.716391,-23600.000000
10580.786900,2165.420508,-23600.000000
8051.809114,24838.594721,-9500.000000
7866.667693,5677.322621,-22400.000000
8994.796487,5912.164771,-20100.000000
5270.620321,16388.872465,-22900.000000
-9831.662769,22624.371624,-19000.000000
275722.804465,-161335.872924,-38300.000000
276201.607007,-115609.223169,-29000.000000
-2957.633176,7981.598095,-23800.000000
-2947.893023,7206.444649,-24000.000000
-3505.173368,10632.800569,-27000.000000
-8195.559332,7471.867116,-19800.000000
26099.807722,11862.556097,-11000.000000
43845.830927,198597.784642,-17100.000000
2436.089368,4172.140874,-18200.000000
 22.628373,8129.502553,-23500.000000
-6899.175789,18674.843671,-22900.000000
-7749.238637,20768.319879,-17000.000000
-372.156886,6795.589086,-24400.000000
2215.607964,13804.724233,-21200.000000
-8281.218025,14116.156788,-20000.000000
-5337.888426,9169.813980,-19700.000000
-5126.613901,8729.478853,-19900.000000
-618.986362,10115.090527,-25900.000000
-7818.519105,10134.886958,-25600.000000
3666.842634,4408.646454,-26100.000000
-3162.802022,-216.799982,-16300.000000
