x,y,z	
174087.192165,-1534520.884531,-23600.000000
172765.881734,-1529996.163095,-11100.000000
164170.319761,-1536977.098888,-25000.000000
179276.986087,-1528008.919388,-16800.000000
167671.212879,-1536257.458413,-26800.000000
167937.609469,-1536570.123105,-28200.000000
173141.905828,-1538686.220533, -0.000000
173963.254138,-1534096.553296,-25200.000000
173324.682338,-1535410.179145,-25700.000000
162560.554283,-1534355.967782,-31200.000000
174011.773275,-1533362.843495,-3100.000000
171224.193285,-1539324.073876,-16100.000000
171215.971654,-1533588.892321,-25600.000000
155231.619166,-1530541.261000,-10800.000000
174935.056401,-1534724.000859,-24500.000000
171926.068385,-1532219.790773,-24800.000000
168548.187783,-1535858.504844,-25800.000000
168394.365784,-1535631.428610,-26100.000000
166235.754670,-1537849.071666,-25000.000000
174127.110897,-1534257.613803,-28000.000000
168574.225297,-1537751.988625,-19100.000000
173504.397565,-1534225.316650,-24700.000000
166993.804700,-1538645.833277,-27500.000000
166132.090070,-1537292.440732,-25700.000000
166162.186701,-1537094.798384,-26700.000000
176281.597669,-1534534.919561,-19900.000000
161216.901391,-1531643.399215,-15100.000000
165315.530634,-1533585.179629,-19100.000000
174705.646726,-1536238.103545,-22600.000000
173979.071748,-1532751.021900,-28800.000000
176553.271452,-1538961.619166,-21700.000000
168550.579084,-1536668.505577,-29100.000000
166709.414806,-1535563.210353,-28800.000000
166107.609798,-1535803.856871,-26400.000000
173463.092446,-1534083.870605,-25300.000000
169483.911547,-1534659.634447,-27800.000000
164948.280203,-1537642.201061,-24500.000000
174198.362796,-1534201.607957,-25000.000000
174470.577821,-1533234.110541,-26500.000000
173604.730719,-1530669.598226,-27300.000000
170678.565306,-1492408.386240,-35100.000000
180035.937361,-1523824.720063,-11100.000000
171587.498787,-1534862.141526,-25700.000000
165620.490560,-1536940.264268,-26300.000000
176503.438565,-1530999.137446,-21200.000000
167417.689113,-1540401.803285,-20000.000000
165803.306937,-1536564.711864,-25900.000000
165834.504163,-1536772.187113,-25600.000000
175400.971515,-1533720.026002,-22100.000000
175073.261244,-1533397.987146,-20000.000000
172901.169880,-1536961.033751,-22500.000000
167359.035974,-1534183.531406,-24600.000000
160034.097820,-1532396.876898,-21300.000000
170679.553237,-1535053.764061,-26200.000000
171967.178041,-1538565.688357,-16400.000000
170420.748340,-1537170.863715,-23400.000000
170725.944064,-1536814.976783,-23600.000000
163712.047645,-1537510.928550,-23600.000000
167118.210764,-1524239.748646,-9500.000000
165627.280466,-1535659.172670,-22400.000000
164973.109711,-1535419.032223,-20100.000000
168070.765665,-1529511.569230,-22900.000000
177591.055332,-1527133.427196,-19000.000000
-11813.369686,-1609947.154431,-38300.000000
-7349.979639,-1582109.241424,-29000.000000
172282.897160,-1535243.320717,-23800.000000
172212.954732,-1535704.188773,-24000.000000
172829.044550,-1533712.643248,-27000.000000
175368.336626,-1536006.925655,-19800.000000
155261.948913,-1530343.794534,-11000.000000
160811.689953,-1418864.180444,-17100.000000
168745.692591,-1537037.189837,-18200.000000
170515.710784,-1534892.607228,-23500.000000
175517.805249,-1529224.948985,-22900.000000
176197.126558,-1528054.492171,-17000.000000
170640.812851,-1535722.010774,-24400.000000
169678.104076,-1531319.837122,-21200.000000
175966.492029,-1532058.444177,-20000.000000
173802.168075,-1534744.930580,-19700.000000
173639.685456,-1534988.610566,-19900.000000
171063.422935,-1533766.688970,-25900.000000
175362.529096,-1534387.920894,-25600.000000
168030.144831,-1536787.406277,-26100.000000
171727.355250,-1540147.119944,-16300.000000
165303.935309,-1536956.878650,-25100.000000
164088.921432,-1537099.008519,-22200.000000
172930.268814,-1533459.219436,-24500.000000
176224.404712,-1532840.888107,-19500.000000
167756.059720,-1537350.750876,-27800.000000
172172.986840,-1535967.562568,-26900.000000
174896.593945,-1535392.049175,-27400.000000
174724.209906,-1532802.956460,-23400.000000
179764.361905,-1524790.051179, -0.000000
170907.247647,-1536034.531852,-23500.000000
170772.114311,-1535270.933970,-24700.000000
174456.250659,-1534984.473783,-12500.000000
