x,y,z	
-9708.712057,21075.330158,-18000.000000
-9708.712057,21075.330158,-18000.000000
6456.270507,11862.346882,-19400.000000
-14592.263664,24555.709813,-5000.000000
-10026.034212,21735.762259,-20300.000000
-10673.685953,24053.251579,-18900.000000
-10416.507670,28043.799548,-100.000000
2052.097719,1952.363952,-24600.000000
-10210.324337,20072.028292,-17900.000000
2684.986340,631.102575,-21000.000000
-8369.508627,20981.830181,-17700.000000
-8782.554967,21087.275892,-17900.000000
-2689.447704,11196.761431,-23800.000000
12527.417816,11601.331694,-25400.000000
-7168.840944,7595.795366,-26100.000000
-3694.099640,9301.327846,-26900.000000
3477.291397,-5339.784160,-34400.000000
2809.412914,7277.664903,-27000.000000
-1878.309199,20399.313443,-16500.000000
-8148.067627,19766.364649,-14300.000000
-8636.467037,1817.483753, -0.000000
-16487.815267,12346.829148, -0.000000
-961.432646,4573.166448,-25300.000000
-8146.646301,19655.627563,-19800.000000
-9815.918149,29380.618205, -0.000000
-6209.914619,21120.165956,-17600.000000
-1847.408803,9656.750301,-25100.000000
-553.192347,13106.152745,-23500.000000
-7853.564537,20877.692260,-17100.000000
10061.731265,2602.266822,-24500.000000
8641.257602,1035.056817,-24300.000000
-11875.547379,21490.194312,-6500.000000
-2863.163610,8647.257618,-18400.000000
4507.902356,2868.295777,-27100.000000
5922.855222,4878.835164,-24700.000000
6692.725553,679.610160,-26100.000000
-9742.792459,15758.576947,-12700.000000
  6.193331,9458.270634,-25900.000000
-3150.731144,6982.338230,-16200.000000
-590.143922,7789.605634,-18100.000000
-8582.658769,13558.444314,-12600.000000
-7040.218017,21663.369930,-17300.000000
-2544.850776,-319.815153,-32000.000000
-5674.341085,19465.653472,-16400.000000
7306.591409,9546.776442,-20700.000000
6557.787387,11974.304885,-19700.000000
-706.703954,8895.680873,-25800.000000
1502.831931,4825.154979,-27600.000000
616.314722,10019.556770,-26900.000000
3188.333044,9940.275552,-23300.000000
-3286.979281,9638.714680,-16700.000000
-2754.785646,8205.603908,-18200.000000
5828.043461,4213.204268,-24900.000000
-3006.294880,11857.307981,-25300.000000
-3205.023803,11301.047083,-23600.000000
-3822.051749,11293.284270,-26200.000000
1243.565351,834.903076,-16400.000000
-3578.717530,8305.996419,-26100.000000
39000.919870,7122.419333, -0.000000
-13631.359402,29774.006442, -0.000000
7454.166770,5783.116537,-24300.000000
2789.676519,17355.636565,-18400.000000
9132.850738,2923.573412,-24500.000000
2221.476061,-3472.389695,-25400.000000
-5276.770685,20578.222662,-14500.000000
-5251.947121,10499.916605,-26500.000000
-11761.065001,20605.630118,-11500.000000
-4779.176489,30109.219111,-1700.000000
6965.295920,3673.079197,-22900.000000
7265.723396,4341.151103,-23200.000000
902.467136,3488.743569,-17600.000000
-7662.951096,6038.848679,-19900.000000
-6802.957774,11144.676208,-23600.000000
1424.833371,45025.992314,-44200.000000
-6407.275892,20453.133439,-18900.000000
8844.988753,9897.222368,-23400.000000
-113.005004,2479.409990,-15800.000000
1539.597030,1835.315741,-15400.000000
-5661.872193,10383.950601,-24700.000000
7945.823163,7671.660862,-20300.000000
