x,y,z	
320133.921935,7569247.994376,-35100.000000
297433.637067,7519577.062892,-11100.000000
308806.272643,7499343.633459,-25700.000000
318118.959456,7494473.391002,-26300.000000
301612.971298,7506894.385401,-21200.000000
314379.328528,7489223.164001,-20000.000000
317905.484192,7495135.337311,-25900.000000
317806.657588,7494801.915944,-25600.000000
302805.725313,7502147.231287,-22100.000000
303417.086448,7502598.102043,-20000.000000
306172.255111,7496209.401530,-22500.000000
315900.613862,7499430.533694,-24600.000000
328329.798923,7500571.420038,-21300.000000
310252.578912,7498807.856439,-26200.000000
307339.319345,7493344.531452,-16400.000000
310193.721077,7495263.053930,-23400.000000
309774.297212,7495922.358339,-23600.000000
321116.438881,7493069.062456,-23600.000000
318587.461095,7515742.236669,-9500.000000
318402.319673,7496580.964569,-22400.000000
319530.448468,7496815.806719,-20100.000000
315806.272302,7507292.514413,-22900.000000
300703.989212,7513528.013572,-19000.000000
586258.456446,7329567.769024,-38300.000000
586737.258988,7375294.418779,-29000.000000
307578.018805,7498885.240043,-23800.000000
307587.758958,7498110.086597,-24000.000000
307030.478613,7501536.442517,-27000.000000
302340.092649,7498375.509064,-19800.000000
336635.459703,7502766.198045,-11000.000000
354381.482908,7689501.426590,-17100.000000
312971.741348,7495075.782822,-18200.000000
310558.280354,7499033.144501,-23500.000000
303636.476192,7509578.485619,-22900.000000
302786.413344,7511671.961827,-17000.000000
310163.495095,7497699.231034,-24400.000000
312751.259945,7504708.366181,-21200.000000
302254.433956,7505019.798736,-20000.000000
305197.763555,7500073.455928,-19700.000000
305409.038080,7499633.120801,-19900.000000
309916.665619,7501018.732475,-25900.000000
302717.132876,7501038.528906,-25600.000000
314202.494614,7495312.288402,-26100.000000
307372.849958,7490686.841966,-16300.000000
318634.176905,7494368.765262,-25100.000000
320593.486839,7493838.155874,-22200.000000
306922.068316,7501978.092516,-24500.000000
301653.014585,7503793.720417,-19500.000000
314522.950733,7494319.428951,-27800.000000
307593.326046,7497667.141500,-26900.000000
303254.042627,7499273.330031,-27400.000000
304125.674110,7503493.207358,-23400.000000
297661.306798,7517918.685538, -0.000000
309654.971797,7497249.905960,-23500.000000
310051.072113,7498473.102064,-24700.000000
304069.522135,7499837.560597,-12500.000000
309438.336880,7498133.231404,-21700.000000
310060.688828,7497697.955748,-23700.000000
309774.021802,7504228.765474,-27900.000000
316128.695618,7489022.856944,-15700.000000
306245.617224,7498536.178861,-17400.000000
314525.638346,7494097.961450,-27300.000000
324443.020508,7498755.604287,-21600.000000
308917.379643,7498680.502948,-24700.000000
